County,Year,Admissions,Discharges,Children_In_Care,Number_of_Children_Served
ALBANY,2015,167,159,181,333
ALLEGANY,2015,38,57,77,133
BROOME,2015,105,143,218,352
CATTARAUGUS,2015,58,55,94,163
CAYUGA,2015,47,58,65,120
CHAUTAUQUA,2015,110,98,112,218
CHEMUNG,2015,63,49,96,150
CHENANGO,2015,39,21,55,73
CLINTON,2015,50,51,109,157
COLUMBIA,2015,35,45,79,131
CORTLAND,2015,45,54,61,112
DELAWARE,2015,35,37,75,124
DUTCHESS,2015,176,130,314,471
ERIE,2015,617,569,884,1476
ESSEX,2015,26,8,38,46
FRANKLIN,2015,41,38,103,138
FULTON,2015,33,37,45,77
GENESEE,2015,51,45,84,133
GREENE,2015,51,53,78,115
HAMILTON,2015,2,1,1,2
HERKIMER,2015,48,63,60,123
JEFFERSON,2015,60,75,88,163
LEWIS,2015,8,8,12,21
LIVINGSTON,2015,39,22,52,80
MADISON,2015,27,35,46,80
MONROE,2015,322,333,390,733
MONTGOMERY,2015,47,27,60,85
NASSAU,2015,149,176,197,361
NEW YORK CITY,2015,3905,4878,9889,15532
NIAGARA,2015,106,98,177,281
ONEIDA,2015,213,178,264,448
ONONDAGA,2015,264,254,364,610
ONTARIO,2015,39,42,80,126
ORANGE,2015,166,183,330,501
ORLEANS,2015,28,27,35,64
OSWEGO,2015,50,31,55,81
OTSEGO,2015,20,24,31,49
PUTNAM,2015,20,14,25,39
RENSSELAER,2015,74,92,118,207
ROCKLAND,2015,37,41,65,109
SARATOGA,2015,27,43,52,93
SCHENECTADY,2015,167,159,218,381
SCHOHARIE,2015,13,6,43,55
SCHUYLER,2015,17,6,23,29
SENECA,2015,29,26,46,72
ST. LAWRENCE,2015,102,11,154,256
ST. REGIS MOHAWK,2015,2,95,21,34
STEUBEN,2015,57,48,94,139
SUFFOLK,2015,419,484,627,1109
SULLIVAN,2015,43,33,93,126
TIOGA,2015,17,23,20,43
TOMPKINS,2015,53,77,110,191
ULSTER,2015,71,75,126,200
WARREN,2015,29,36,57,94
WASHINGTON,2015,24,24,40,67
WAYNE,2015,21,19,40,57
WESTCHESTER,2015,230,232,512,778
WYOMING,2015,27,32,40,78
YATES,2015,12,14,29,43
ALBANY,2014,133,153,165,311
ALLEGANY,2014,59,45,97,143
BROOME,2014,114,136,256,401
CATTARAUGUS,2014,89,76,104,177
CAYUGA,2014,48,57,73,127
CHAUTAUQUA,2014,101,114,104,217
CHEMUNG,2014,67,57,86,144
CHENANGO,2014,19,27,34,62
CLINTON,2014,62,46,109,151
COLUMBIA,2014,66,89,94,167
CORTLAND,2014,43,57,70,128
DELAWARE,2014,37,43,83,127
DUTCHESS,2014,158,112,298,415
ERIE,2014,596,553,853,1414
ESSEX,2014,19,27,20,43
FRANKLIN,2014,70,34,102,140
FULTON,2014,30,24,41,66
GENESEE,2014,54,40,80,119
GREENE,2014,30,48,66,124
HAMILTON,2014,0,1,0,1
HERKIMER,2014,47,70,74,146
JEFFERSON,2014,70,76,96,169
LEWIS,2014,5,7,13,20
LIVINGSTON,2014,28,38,40,73
MADISON,2014,33,41,53,89
MONROE,2014,327,331,389,741
MONTGOMERY,2014,29,33,31,66
NASSAU,2014,155,182,207,377
NEW YORK CITY,2014,4307,4944,10866,16551
NIAGARA,2014,91,58,172,244
ONEIDA,2014,239,232,253,459
ONONDAGA,2014,290,253,357,599
ONTARIO,2014,64,30,87,117
ORANGE,2014,199,213,334,554
ORLEANS,2014,28,28,34,61
OSWEGO,2014,25,23,31,57
OTSEGO,2014,11,18,37,56
PUTNAM,2014,15,14,19,32
RENSSELAER,2014,92,96,134,228
ROCKLAND,2014,39,29,74,104
SARATOGA,2014,43,34,66,101
SCHENECTADY,2014,189,174,210,380
SCHOHARIE,2014,31,27,44,70
SCHUYLER,2014,13,18,13,30
SENECA,2014,42,33,43,76
ST. LAWRENCE,2014,87,92,148,240
ST. REGIS MOHAWK,2014,19,6,31,33
STEUBEN,2014,41,61,79,140
SUFFOLK,2014,533,543,677,1207
SULLIVAN,2014,43,43,82,125
TIOGA,2014,13,15,24,37
TOMPKINS,2014,84,76,139,213
ULSTER,2014,94,95,124,212
