Row_Created_Date_Time,Service_Year,OMH_Region_Code,OMH_Region_Label,County_Label,Age_Group,Rate_Code_Group,Recipient_Count_By_County,Count_Of_ Recipients_By_Rate_Code_Group_And_County,Units_Total,Paid_Claim_Total
7/19/2017 9:44,2011,3,Hudson River,Ulster,CHILD,Day Treatment,714,39,953,313495
7/19/2017 9:44,2011,3,Hudson River,Ulster,CHILD,Family Based Treatment/Teaching Family Home,714,10,40,293742
7/19/2017 9:44,2011,3,Hudson River,Ulster,CHILD,Psychiatric Inpatient,714,1,3,2873
7/19/2017 9:44,2011,3,Hudson River,Ulster,CHILD,Partial Hospitalization,714,32,416,51516
7/19/2017 9:44,2011,3,Hudson River,Ulster,CHILD,"Targeted Case Management (ICM, BCM, SCM)",714,40,191,105932
7/19/2017 9:44,2011,3,Hudson River,Warren,ADULT,Continuing Day Treatment,950,52,5059,244036
7/19/2017 9:44,2011,3,Hudson River,Warren,ADULT,Clinic Treatment,950,706,8239,677531
7/19/2017 9:44,2011,3,Hudson River,Warren,ADULT,Community Residence,950,14,83,182253
7/19/2017 9:44,2011,3,Hudson River,Warren,ADULT,Psychiatric Inpatient,950,273,2417,1749725
7/19/2017 9:44,2011,3,Hudson River,Warren,ADULT,"Targeted Case Management (ICM, BCM, SCM)",950,55,393,261659
7/19/2017 9:44,2011,3,Hudson River,Warren,CHILD,Clinic Treatment,412,393,5048,643023
7/19/2017 9:44,2011,3,Hudson River,Warren,CHILD,Community Residence,412,2,3,6629
7/19/2017 9:44,2011,3,Hudson River,Warren,CHILD,Psychiatric Inpatient,412,20,43,30816
7/19/2017 9:44,2011,3,Hudson River,Warren,CHILD,"Targeted Case Management (ICM, BCM, SCM)",412,36,199,132451
7/19/2017 9:44,2011,3,Hudson River,Washington,ADULT,Clinic Treatment,562,474,5178,723667
7/19/2017 9:44,2011,3,Hudson River,Washington,ADULT,Community Residence,562,61,502,1097149
7/19/2017 9:44,2011,3,Hudson River,Washington,ADULT,"Targeted Case Management (ICM, BCM, SCM)",562,59,380,152008
7/19/2017 9:44,2011,3,Hudson River,Washington,CHILD,Clinic Treatment,303,289,2861,446586
7/19/2017 9:44,2011,3,Hudson River,Washington,CHILD,Community Residence,303,1,1,2192
7/19/2017 9:44,2011,3,Hudson River,Washington,CHILD,"Targeted Case Management (ICM, BCM, SCM)",303,22,140,55996
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Assertive Community Treatment,9200,262,2281,3165000
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Continuing Day Treatment,9200,289,23281,1820606
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Clinic Treatment,9200,6291,82431,14955867
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Comprehensive Psychiatric Emergency Program,9200,77,96,42299
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Community Residence,9200,393,3391,9166069
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Psychiatric Inpatient,9200,2445,69457,60234124
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Intensive Psychiatric Rehabilitation Treatment,9200,30,1085,95287
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Partial Hospitalization,9200,326,3256,373724
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,Personalized Recovery Oriented Services,9200,90,482,184843
7/19/2017 9:44,2011,3,Hudson River,Westchester,ADULT,"Targeted Case Management (ICM, BCM, SCM)",9200,1020,7778,3358912
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Home and Community Based Services Waiver (HCBS),4936,100,5055,1542636
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Clinic Treatment,4936,3219,56696,10012259
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Comprehensive Psychiatric Emergency Program,4936,63,71,36688
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Community Residence,4936,27,151,1758560
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Day Treatment,4936,290,22415,4040163
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Family Based Treatment/Teaching Family Home,4936,10,71,392231
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Psychiatric Inpatient,4936,1439,60153,44641175
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Partial Hospitalization,4936,111,1628,232781
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,Residential Treatment Facility,4936,223,45722,22255548
7/19/2017 9:44,2011,3,Hudson River,Westchester,CHILD,"Targeted Case Management (ICM, BCM, SCM)",4936,111,542,349438
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Assertive Community Treatment,23922,416,3463,4313885
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Continuing Day Treatment,23922,1153,83715,6062503
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Clinic Treatment,23922,18476,259304,36161205
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Comprehensive Psychiatric Emergency Program,23922,1451,2192,928034
