State,Population,Year,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Violent crime total
Alabama,4785401,2010,275,1355,,4864,11869,168828,42484,115564,10780,383.7,5.7,28.3,,101.6,248,3528,887.8,2414.9,225.3,18363
Alabama,4803689,2011,299,1370,,4906,13591,173192,51119,111411,10662,419.8,6.2,28.5,,102.1,282.9,3605.4,1064.2,2319.3,222,20166
Alabama,4817528,2012,342,1296,,5020,15035,168878,47481,111523,9874,450.3,7.1,26.9,,104.2,312.1,3505.5,985.6,2314.9,205,21693
Alabama,4833996,2013,346,1449,2055,4645,13788,161835,42410,108862,10563,431,7.2,30,42.5,96.1,285.2,3347.9,877.3,2252,218.5,20834
Alabama,4849377,2014,276,1436,2005,4701,13745,154094,39715,104238,10141,427.4,5.7,29.6,41.3,96.9,283.4,3177.6,819,2149.5,209.1,20727
Alaska,714146,2010,31,533,,594,3379,20259,3105,15535,1619,635.3,4.3,74.6,,83.2,473.2,2836.8,434.8,2175.3,226.7,4537
Alaska,723860,2011,30,436,,576,3374,19094,2852,14854,1388,610.1,4.1,60.2,,79.6,466.1,2637.8,394,2052.1,191.7,4416
Alaska,730307,2012,30,583,,630,3169,20037,2950,15565,1522,604.1,4.1,79.8,,86.3,433.9,2743.6,403.9,2131.3,208.4,4412
Alaska,737259,2013,34,657,925,623,3127,21211,2917,16599,1695,638.7,4.6,89.1,125.5,84.5,424.1,2877,395.7,2251.4,229.9,4709
Alaska,736732,2014,41,555,771,629,3243,20334,3150,15445,1739,635.8,5.6,75.3,104.7,85.4,440.2,2760,427.6,2096.4,236,4684
Arizona,6413158,2010,408,2191,,6953,16976,226802,50932,154137,21733,413.6,6.4,34.2,,108.4,264.7,3536.5,794.2,2403.4,338.9,26528
Arizona,6467315,2011,397,2499,,7145,16748,229896,54695,155400,19801,414.2,6.1,38.6,,110.5,259,3554.7,845.7,2402.9,306.2,26789
Arizona,6551149,2012,358,2282,,7383,18054,231701,52911,159808,18982,428.6,5.5,34.8,,112.7,275.6,3536.8,807.7,2439.4,289.8,28077
Arizona,6634997,2013,355,2344,3174,6656,17391,223294,48292,158036,16966,415.6,5.4,35.3,47.8,100.3,262.1,3365.4,727.8,2381.9,255.7,27576
Arizona,6731484,2014,319,2464,3378,6249,16970,215240,43562,154091,17587,399.9,4.7,36.6,50.2,92.8,252.1,3197.5,647.1,2289.1,261.3,26916
Arkansas,2921588,2010,134,1321,,2369,10887,103820,32463,65796,5561,503.5,4.6,45.2,,81.1,372.6,3553.5,1111.1,2252.1,190.3,14711
Arkansas,2938582,2011,160,1230,,2357,10426,110430,34016,70645,5769,482.3,5.4,41.9,,80.2,354.8,3757.9,1157.6,2404.1,196.3,14173
Arkansas,2949828,2012,174,1233,,2310,10134,109389,32673,70982,5734,469.6,5.9,41.8,,78.3,343.5,3708.3,1107.6,2406.3,194.4,13851
Arkansas,2958765,2013,158,1135,1490,2261,9796,106477,30369,70430,5678,463.2,5.3,38.4,50.4,76.4,331.1,3598.7,1026.4,2380.4,191.9,13705
Arkansas,2966369,2014,165,1182,1763,2050,10265,99018,24790,68627,5601,480.1,5.6,39.8,59.4,69.1,346,3338,835.7,2313.5,188.8,14243
California,37338198,2010,1809,8331,,58116,95877,981939,228857,600558,152524,439.6,4.8,22.3,,155.6,256.8,2629.9,612.9,1608.4,408.5,164133
California,37683933,2011,1792,7665,,54291,91195,973822,230075,596905,146842,411.2,4.8,20.3,,144.1,242,2584.2,610.5,1584,389.7,154943
California,37999878,2012,1884,7837,,56521,94702,1049465,245767,635090,168608,423.5,5,20.6,,148.7,249.2,2761.8,646.8,1671.3,443.7,160944
California,38431393,2013,1746,7464,10324,53640,89029,1018907,232058,621557,165292,402.6,4.5,19.4,26.9,139.6,231.7,2651.2,603.8,1617.3,430.1,154739
California,38802500,2014,1699,8398,11527,48680,91803,947192,202670,592670,151852,396.1,4.4,21.6,29.7,125.5,236.6,2441.1,522.3,1527.4,391.3,153709
Colorado,5047692,2010,129,2230,,3164,10816,135001,26196,97534,11271,323.7,2.6,44.2,,62.7,214.3,2674.5,519,1932.2,223.3,16339
Colorado,5116302,2011,155,2285,,3299,10346,132781,25725,96054,11002,314.4,3,44.7,,64.5,202.2,2595.3,502.8,1877.4,215,16085
Colorado,5189458,2012,152,2122,,3392,10285,139355,26163,101091,12101,307.4,2.9,40.9,,65.4,198.2,2685.3,504.2,1948,233.2,15951
Colorado,5272086,2013,174,2198,2963,3136,9826,139974,25075,102375,12524,305.4,3.3,41.7,56.2,59.5,186.4,2655,475.6,1941.8,237.6,16099
Colorado,5355866,2014,151,2121,3039,3039,10325,135510,23472,99464,12574,309.1,2.8,39.6,56.7,56.7,192.8,2530.1,438.2,1857.1,234.8,16554
Connecticut,3575498,2010,133,595,,3553,5802,78259,15145,56413,6701,282,3.7,16.6,,99.4,162.3,2188.8,423.6,1577.8,187.4,10083
Connecticut,3586717,2011,129,689,,3689,5382,77205,15468,55067,6670,275.7,3.6,19.2,,102.9,150.1,2152.5,431.3,1535.3,186,9889
Connecticut,3591765,2012,117,933,,3709,5424,77169,14787,55904,6478,283.5,3.3,26,,103.3,151,2148.5,411.7,1556.4,180.4,10183
Connecticut,3599341,2013,91,647,891,3551,4906,71274,12934,52099,6241,262.2,2.5,18,24.8,98.7,136.3,1980.2,359.3,1447.5,173.4,9439
Connecticut,3596677,2014,86,571,782,3159,4495,69070,11955,51005,6110,236.9,2.4,15.9,21.7,87.8,125,1920.4,332.4,1418.1,169.9,8522
Delaware,899792,2010,51,326,,1839,3392,31078,7550,21593,1935,623.3,5.7,36.2,,204.4,377,3453.9,839.1,2399.8,215,5608
Delaware,908137,2011,48,307,,1558,3231,31163,7617,22001,1545,566.4,5.3,33.8,,171.6,355.8,3431.5,838.8,2422.7,170.1,5144
Delaware,917053,2012,56,249,,1498,3245,30707,7389,21880,1438,550.5,6.1,27.2,,163.3,353.9,3348.4,805.7,2385.9,156.8,5048
Delaware,925240,2013,41,278,399,1233,2960,29001,6299,21347,1355,500.7,4.4,30,43.1,133.3,319.9,3134.4,680.8,2307.2,146.4,4633
Delaware,935614,2014,54,249,386,1269,2867,27900,5768,20865,1267,489.1,5.8,26.6,41.3,135.6,306.4,2982,616.5,2230.1,135.4,4576
District of Colombia,604912,2010,132,187,,4325,3382,28802,4233,19514,5055,1326.8,21.8,30.9,,715,559.1,4761.4,699.8,3225.9,835.7,8026
District of Colombia,619020,2011,108,173,,4094,3058,29654,3850,21347,4457,1200.8,17.4,27.9,,661.4,494,4790.5,622,3448.5,720,7433
District of Colombia,633427,2012,88,236,,4037,3505,30757,3519,23575,3663,1241.8,13.9,37.3,,637.3,553.3,4855.7,555.5,3721.8,578.3,7866
District of Colombia,649111,2013,103,297,395,4082,3835,31097,3316,24547,3234,1296.4,15.9,45.8,60.9,628.9,590.8,4790.7,510.9,3781.6,498.2,8415
District of Colombia,658893,2014,105,352,472,3497,4125,34147,3466,26898,3783,1244.4,15.9,53.4,71.6,530.7,626.1,5182.5,526,4082.3,574.1,8199
Florida,18838613,2010,987,5373,,26086,69523,669035,169119,458454,41462,541.3,5.2,28.5,,138.5,369,3551.4,897.7,2433.6,220.1,101969
Florida,19082262,2011,984,5273,,25622,66319,671200,170171,461408,39621,514.6,5.2,27.6,,134.3,347.5,3517.4,891.8,2418,207.6,98198
Florida,19320749,2012,1009,5260,,23889,63929,632988,153563,442095,37330,487,5.2,27.2,,123.6,330.9,3276.2,794.8,2288.2,193.2,94087
Florida,19600311,2013,972,4765,6767,23200,61054,607170,138915,433344,34911,469.3,5,24.3,34.5,118.4,311.5,3097.8,708.7,2210.9,178.1,91993
Florida,19893297,2014,1149,6051,8563,24914,72895,679446,143220,493647,42579,540.5,5.8,30.4,43,125.2,366.4,3415.5,719.9,2481.5,214,107521
Georgia,9712157,2010,555,2107,,12372,24034,353449,96947,226161,30341,402.3,5.7,21.7,,127.4,247.5,3639.2,998.2,2328.6,312.4,39068
Georgia,9812460,2011,549,2066,,12266,21881,357235,96014,231543,29678,374.6,5.6,21.1,,125,223,3640.6,978.5,2359.7,302.5,36762
Georgia,9915646,2012,583,2143,,12502,22447,339473,86992,223875,28606,380,5.9,21.6,,126.1,226.4,3423.6,877.3,2257.8,288.5,37675
Georgia,9994759,2013,563,2022,2891,12704,21361,339808,83459,229190,27159,375.4,5.6,20.2,28.9,127.1,213.7,3399.9,835,2293.1,271.7,37519
Georgia,10097343,2014,580,2159,3048,12417,22052,331316,76428,228034,26854,377.3,5.7,21.4,30.2,123,218.4,3281.2,756.9,2258.4,266,38097
Hawaii,1363359,2010,25,377,,1065,2136,45667,8706,31681,5280,264.3,1.8,27.7,,78.1,156.7,3349.6,638.6,2323.7,387.3,3603
Hawaii,1378129,2011,20,353,,994,2098,43874,8165,31240,4469,251.4,1.5,25.6,,72.1,152.2,3183.6,592.5,2266.8,324.3,3465
Hawaii,1390090,2012,21,279,,1125,1953,43419,7653,31901,3865,243,1.5,20.1,,80.9,140.5,3123.5,550.5,2294.9,278,3378
Hawaii,1408987,2013,32,366,508,934,2111,45266,7777,32928,4561,254.4,2.3,26,36.1,66.3,149.8,3212.7,552,2337,323.7,3585
Hawaii,1419561,2014,26,314,445,1107,2102,43297,7778,31640,3879,259.2,1.8,22.1,31.3,78,148.1,3050,547.9,2228.9,273.3,3680
Idaho,1571102,2010,22,533,,213,2696,31436,6513,23594,1329,220.5,1.4,33.9,,13.6,171.6,2000.9,414.5,1501.7,84.6,3464
Idaho,1583744,2011,35,444,,188,2535,32875,6915,24629,1331,202.2,2.2,28,,11.9,160.1,2075.8,436.6,1555.1,84,3202
Idaho,1595590,2012,30,495,,243,2580,31825,7240,23203,1382,209.8,1.9,31,,15.2,161.7,1994.6,453.8,1454.2,86.6,3348
Idaho,1612843,2013,29,516,674,220,2548,30230,6693,21999,1538,215.2,1.8,32,41.8,13.6,158,1874.3,415,1364,95.4,3471
Idaho,1634464,2014,32,468,609,204,2623,30316,6428,22227,1661,212.2,2,28.6,37.3,12.5,160.5,1854.8,393.3,1359.9,101.6,3468
Illinios,12841980,2010,704,3066,,20386,32976,349064,77472,242681,28911,444.9,5.5,23.9,,158.7,256.8,2718.1,603.3,1889.7,225.1,57132
Illinios,12859752,2011,781,3030,,20217,30495,344468,77719,237362,29387,424,6.1,23.6,,157.2,237.1,2678.7,604.4,1845.8,228.5,54523
Illinios,12868192,2012,770,3581,,19480,29725,332706,71100,235314,26292,416.2,6,27.8,,151.4,231,2585.5,552.5,1828.6,204.3,53556
Illinios,12890552,2013,722,3895,5340,17733,28161,296048,59093,216059,20896,403.1,5.6,30.2,41.4,137.6,218.5,2296.6,458.4,1676.1,162.1,51956
Illinios,12880580,2014,685,3081,4159,15299,27520,267385,50008,199926,17451,370,5.3,23.9,32.3,118.8,213.7,2075.9,388.2,1552.2,135.5,47663
Indiana,6490622,2010,268,1760,,6559,12396,199274,48570,137204,13500,323.3,4.1,27.1,,101.1,191,3070.2,748.3,2113.9,208,20983
Indiana,6516353,2011,306,1758,,6977,12578,206016,50571,140630,14815,331.8,4.7,27,,107.1,193,3161.5,776.1,2158.1,227.4,21619
Indiana,6537782,2012,307,1661,,6601,13975,197994,47689,136668,13637,344.8,4.7,25.4,,101,213.8,3028.5,729.4,2090.4,208.6,22544
Indiana,6570713,2013,357,1623,2241,7114,13915,187472,42754,130534,14184,359.6,5.4,24.7,34.1,108.3,211.8,2853.1,650.7,1986.6,215.9,23627
Indiana,6596855,2014,330,1615,2186,6897,14686,174776,36893,124022,13861,365.3,5,24.5,33.1,104.5,222.6,2649.4,559.3,1880,210.1,24099
Iowa,3050202,2010,38,883,,1012,6258,68740,16746,48194,3800,268.5,1.2,28.9,,33.2,205.2,2253.6,549,1580,124.6,8191
Iowa,3064097,2011,44,866,,824,6149,72043,17573,50472,3998,257.3,1.4,28.3,,26.9,200.7,2351.2,573.5,1647.2,130.5,7883
Iowa,3075039,2012,49,901,,962,6255,70357,17201,49116,4040,265.6,1.6,29.3,,31.3,203.4,2288,559.4,1597.2,131.4,8167
Iowa,3092341,2013,41,873,1133,937,6332,67976,15918,47803,4255,273,1.3,28.2,36.6,30.3,204.8,2198.2,514.8,1545.9,137.6,8443
Iowa,3107126,2014,60,828,1128,1045,6264,65056,14428,46477,4151,273.5,1.9,26.6,36.3,33.6,201.6,2093.8,464.4,1495.8,133.6,8497
Kansas,2859143,2010,97,1146,,1538,7821,89109,19315,63774,6020,370.8,3.4,40.1,,53.8,273.5,3116.6,675.6,2230.5,210.6,10602
Kansas,2870386,2011,111,1122,,1448,7528,88655,18712,63259,6684,355.7,3.9,39.1,,50.4,262.3,3088.6,651.9,2203.8,232.9,10209
Kansas,2885398,2012,85,1105,,1493,7609,91066,18874,65413,6779,356.7,2.9,38.3,,51.7,263.7,3156.1,654.1,2267,234.9,10292
Kansas,2895801,2013,117,1003,1295,1339,7177,85704,17476,61557,6671,342.8,4,34.6,44.7,46.2,247.8,2959.6,603.5,2125.7,230.4,9928
Kansas,2904021,2014,91,1075,1411,1362,7259,79431,15828,56697,6906,348.6,3.1,37,48.6,46.9,250,2735.2,545,1952.4,237.8,10123
Kentuckey,4347223,2010,188,1438,,3748,5230,111170,30443,74488,6239,243.9,4.3,33.1,,86.2,120.3,2557.3,700.3,1713.5,143.5,10604
Kentuckey,4366814,2011,151,1499,,3705,5110,119037,32750,79586,6701,239.6,3.5,34.3,,84.8,117,2725.9,750,1822.5,153.5,10465
Kentuckey,4379730,2012,201,1312,,3547,4792,112800,29877,76199,6724,224.9,4.6,30,,81,109.4,2575.5,682.2,1739.8,153.5,9852
Kentuckey,4399583,2013,172,951,1646,3247,4215,104448,26331,72048,6069,210.9,3.9,21.6,37.4,73.8,95.8,2374,598.5,1637.6,137.9,9280
Kentuckey,4413457,2014,160,883,1440,3336,4404,99166,23244,69604,6318,211.6,3.6,20,32.6,75.6,99.8,2246.9,526.7,1577.1,143.2,9340
Louisiana,4545343,2010,500,1230,,5297,18214,165667,45437,110260,9970,555.3,11,27.1,,116.5,400.7,3644.8,999.6,2425.8,219.3,25241
