County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count,Index Rate,Violent Rate,Property Rate,Firearm Rate
Albany,2016,308401,8764,1102,7662,126,2841.8,357.3,2484.4,40.9
Albany,2015,308613,8635,1041,7594,114,2798.0,337.3,2460.7,36.9
Albany,2014,308166,9181,1003,8178,147,2979.2,325.5,2653.8,47.7
Albany,2013,306300,9457,1006,8451,150,3087.5,328.4,2759.1,49.0
Albany,2012,305204,9975,1012,8963,137,3268.3,331.6,2936.7,44.9
Albany,2011,305571,10725,1163,9562,196,3509.8,380.6,3129.2,64.1
Albany,2010,295267,11036,1182,9854,154,3737.6,400.3,3337.3,52.2
Albany,2009,298400,10613,1289,9324,191,3556.6,432.0,3124.7,64.0
Albany,2008,299789,10750,1356,9394,238,3585.9,452.3,3133.5,79.4
Albany,2007,297154,10584,1468,9116,208,3561.8,494.0,3067.8,70.0
Albany,2006,298210,11935,1545,10390,200,4002.2,518.1,3484.1,67.1
Albany,2005,298859,12119,1615,10504,260,4055.1,540.4,3514.7,87.0
Albany,2004,298419,12710,1431,11279,194,4259.1,479.5,3779.6,65.0
Albany,2003,296677,11977,1402,10575,183,4037.1,472.6,3564.5,61.7
Albany,2002,297376,12784,1706,11078,224,4298.9,573.7,3725.3,75.3
Albany,2001,295107,13733,1649,12084,252,4653.6,558.8,4094.8,85.4
Albany,2000,304521,14096,1353,12743,153,4628.9,444.3,4184.6,50.2
Albany,1999,292929,14145,1133,13012,113,4828.8,386.8,4442.0,38.6
Albany,1998,294930,13733,1310,12423,108,4656.4,444.2,4212.2,36.6
Albany,1997,290760,14542,1450,13092,149,5001.4,498.7,4502.7,51.2
Albany,1996,291536,13676,1408,12268,117,4691.0,483.0,4208.1,40.1
Albany,1995,290756,16699,1606,15093,157,5743.3,552.4,5191.0,54.0
Albany,1994,293843,16724,1771,14953,162,5691.5,602.7,5088.8,55.1
Albany,1993,294302,15139,1669,13470,104,5144.0,567.1,4576.9,35.3
Albany,1992,295018,16249,1588,14661,116,5507.8,538.3,4969.5,39.3
Albany,1991,294030,15464,1674,13790,120,5259.3,569.3,4690.0,40.8
Albany,1990,292594,14418,1524,12894,122,4927.6,520.9,4406.8,41.7
Allegany,2016,46858,570,80,490,5,1216.4,170.7,1045.7,10.7
Allegany,2015,47336,579,57,522,1,1223.2,120.4,1102.8,2.1
Allegany,2014,47972,615,68,547,12,1282.0,141.7,1140.2,25.0
Allegany,2013,48220,796,54,742,2,1650.8,112.0,1538.8,4.1
Allegany,2012,49041,856,65,791,4,1745.5,132.5,1612.9,8.2
Allegany,2011,49166,895,64,831,4,1820.4,130.2,1690.2,8.1
Allegany,2010,48531,841,89,752,10,1732.9,183.4,1549.5,20.6
Allegany,2009,49605,776,129,647,5,1564.4,260.1,1304.3,10.1
Allegany,2008,49594,651,91,560,2,1312.7,183.5,1129.2,4.0
Allegany,2007,50178,710,86,624,6,1415.0,171.4,1243.6,12.0
Allegany,2006,50737,839,119,720,6,1653.6,234.5,1419.1,11.8
Allegany,2005,50647,1069,134,935,4,2110.7,264.6,1846.1,7.9
Allegany,2004,50659,943,97,846,4,1861.5,191.5,1670.0,7.9
Allegany,2003,50266,846,100,746,3,1683.0,198.9,1484.1,6.0
Allegany,2002,50404,862,116,746,8,1710.2,230.1,1480.0,15.9
Allegany,2001,50019,900,143,757,3,1799.3,285.9,1513.4,6.0
Allegany,2000,52720,964,143,821,4,1828.5,271.2,1557.3,7.6
Allegany,1999,51057,759,94,665,11,1486.6,184.1,1302.5,21.5
Allegany,1998,51741,891,69,822,10,1722.0,133.4,1588.7,19.3
Allegany,1997,51151,943,84,859,1,1843.6,164.2,1679.3,2.0
Allegany,1996,51291,1096,93,1003,3,2136.8,181.3,1955.5,5.8
Allegany,1995,51158,1247,160,1087,12,2437.5,312.8,2124.8,23.5
Allegany,1994,51575,1235,129,1106,2,2394.6,250.1,2144.4,3.9
Allegany,1993,51659,1265,131,1134,4,2448.8,253.6,2195.2,7.7
Allegany,1992,50820,1378,161,1217,10,2711.5,316.8,2394.7,19.7
Allegany,1991,50654,1417,134,1283,4,2797.4,264.5,2532.9,7.9
Allegany,1990,50470,1280,146,1134,1,2536.2,289.3,2246.9,2.0
Bronx,2016,1458255,36834,13817,23017,,2525.9,947.5,1578.4,
Bronx,2015,1448285,36299,13409,22890,,2506.3,925.9,1580.5,
Bronx,2014,1440569.46,36030,12713,23317,,2501.1,882.5,1618.6,
Bronx,2013,1427341.42,36280,13020,23260,,2541.8,912.2,1629.6,
Bronx,2012,1404470.732,35962,12801,23161,,2560.5,911.4,1649.1,
Bronx,2011,1391333,35130,12267,22863,,2524.9,881.7,1643.2,
