Year,Month,County,Beneficiaries, Benefit_Amounts_Dollars
2001,1,Albany,"2,500","$2,390,000 "
2001,1,Columbia,600,"$580,000 "
2001,1,Greene,800,"$760,000 "
2001,1,Rensselaer,"1,900","$1,830,000 "
2001,1,Saratoga,"2,300","$2,340,000 "
2001,1,Schenectady,"1,500","$1,410,000 "
2001,1,Warren,"1,400","$1,200,000 "
2001,1,Washington,900,"$750,000 "
2001,1,Cayuga,"1,500","$1,220,000 "
2001,1,Cortland,900,"$980,000 "
2001,1,Madison,"1,100","$1,130,000 "
2001,1,Onondaga,"5,600","$5,250,000 "
2001,1,Oswego,"2,800","$2,800,000 "
2001,1,Genesee,"1,200","$1,030,000 "
2001,1,Livingston,"1,100","$1,050,000 "
2001,1,Monroe,"7,600","$6,950,000 "
2001,1,Ontario,"1,500","$1,440,000 "
2001,1,Orleans,900,"$680,000 "
2001,1,Seneca,600,"$490,000 "
2001,1,Wayne,"1,700","$1,460,000 "
2001,1,Wyoming,"1,000","$990,000 "
2001,1,Yates,300,"$300,000 "
2001,1,Dutchess,"2,100","$2,150,000 "
2001,1,Orange,"2,900","$2,710,000 "
2001,1,Putnam,800,"$860,000 "
2001,1,Rockland,"2,000","$2,000,000 "
2001,1,Sullivan,"1,100","$1,010,000 "
2001,1,Ulster,"2,200","$2,010,000 "
2001,1,Westchester,"8,000","$8,610,000 "
2001,1,Nassau,"10,900","$11,410,000 "
2001,1,Suffolk,"16,200","$16,330,000 "
2001,1,Fulton,"1,100","$910,000 "
2001,1,Herkimer,"1,200","$1,170,000 "
2001,1,Montgomery,"1,400","$1,180,000 "
2001,1,Oneida,"3,000","$2,830,000 "
2001,1,Otsego,"1,100","$1,010,000 "
2001,1,Schoharie,500,"$520,000 "
2001,1,Bronx,"13,800","$12,290,000 "
2001,1,Kings,"26,900","$23,980,000 "
2001,1,New York,"17,600","$18,990,000 "
2001,1,Queens,"20,600","$19,850,000 "
2001,1,Richmond,"4,300","$4,110,000 "
2001,1,Clinton,"1,200","$1,070,000 "
2001,1,Essex,800,"$750,000 "
2001,1,Franklin,"1,200","$1,040,000 "
2001,1,Hamilton,100,"$110,000 "
2001,1,Jefferson,"2,400","$2,120,000 "
2001,1,Lewis,700,"$740,000 "
2001,1,St. Lawrence,"2,400","$2,250,000 "
2001,1,Broome,"2,500","$2,200,000 "
2001,1,Chemung,"1,100","$870,000 "
2001,1,Chenango,900,"$790,000 "
2001,1,Delaware,700,"$600,000 "
2001,1,Schuyler,400,"$320,000 "
2001,1,Steuben,"1,300","$1,290,000 "
2001,1,Tioga,600,"$590,000 "
2001,1,Tompkins,600,"$560,000 "
2001,1,Allegany,800,"$830,000 "
2001,1,Cattaraugus,"1,700","$1,620,000 "
2001,1,Chautauqua,"2,700","$2,000,000 "
2001,1,Erie,"15,600","$13,780,000 "
2001,1,Niagara,"5,400","$4,530,000 "
2001,1,Out-of-State,"15,600","$19,410,000 "
2001,1,Unknown,"1,600","$1,670,000 "
2001,2,Albany,"2,200","$2,040,000 "
2001,2,Columbia,600,"$490,000 "
2001,2,Greene,700,"$650,000 "
2001,2,Rensselaer,"1,800","$1,670,000 "
2001,2,Saratoga,"2,100","$1,870,000 "
2001,2,Schenectady,"1,400","$1,180,000 "
2001,2,Warren,"1,300","$1,000,000 "
2001,2,Washington,800,"$650,000 "
2001,2,Cayuga,"1,300","$1,060,000 "
2001,2,Cortland,800,"$800,000 "
2001,2,Madison,"1,100","$1,010,000 "
2001,2,Onondaga,"5,100","$4,400,000 "
2001,2,Oswego,"2,600","$2,380,000 "
2001,2,Genesee,"1,100","$870,000 "
2001,2,Livingston,"1,000","$870,000 "
2001,2,Monroe,"7,800","$6,390,000 "
2001,2,Ontario,"1,500","$1,270,000 "
2001,2,Orleans,800,"$570,000 "
2001,2,Seneca,500,"$440,000 "
2001,2,Wayne,"1,800","$1,330,000 "
2001,2,Wyoming,900,"$810,000 "
2001,2,Yates,300,"$260,000 "
2001,2,Dutchess,"2,000","$1,870,000 "
2001,2,Orange,"2,600","$2,410,000 "
2001,2,Putnam,700,"$750,000 "
2001,2,Rockland,"1,900","$1,710,000 "
2001,2,Sullivan,"1,000","$860,000 "
2001,2,Ulster,"1,800","$1,590,000 "
2001,2,Westchester,"7,500","$7,530,000 "
2001,2,Nassau,"10,500","$9,830,000 "
2001,2,Suffolk,"15,300","$14,220,000 "
2001,2,Fulton,"1,000","$750,000 "
2001,2,Herkimer,"1,100","$1,010,000 "
2001,2,Montgomery,"1,300","$1,030,000 "
2001,2,Oneida,"3,000","$2,550,000 "
2001,2,Otsego,"1,000","$840,000 "
2001,2,Schoharie,500,"$480,000 "
2001,2,Bronx,"12,800","$10,400,000 "
2001,2,Kings,"24,300","$20,040,000 "
2001,2,New York,"17,300","$16,590,000 "
2001,2,Queens,"19,200","$16,910,000 "
2001,2,Richmond,"3,600","$3,280,000 "
2001,2,Clinton,"1,200","$1,030,000 "
2001,2,Essex,800,"$680,000 "
2001,2,Franklin,"1,100","$960,000 "
2001,2,Hamilton,100,"$110,000 "
2001,2,Jefferson,"2,300","$1,860,000 "
2001,2,Lewis,800,"$840,000 "
2001,2,St. Lawrence,"2,300","$2,060,000 "
2001,2,Broome,"2,300","$1,950,000 "
2001,2,Chemung,"1,100","$750,000 "
2001,2,Chenango,800,"$730,000 "
2001,2,Delaware,600,"$550,000 "
2001,2,Schuyler,300,"$270,000 "
2001,2,Steuben,"1,300","$1,120,000 "
2001,2,Tioga,600,"$530,000 "
2001,2,Tompkins,600,"$490,000 "
2001,2,Allegany,800,"$710,000 "
2001,2,Cattaraugus,"1,500","$1,370,000 "
2001,2,Chautauqua,"2,400","$1,770,000 "
2001,2,Erie,"14,400","$12,270,000 "
2001,2,Niagara,"5,000","$4,100,000 "
2001,2,Out-of-State,"15,300","$17,060,000 "
2001,2,Unknown,"1,600","$1,590,000 "
2001,3,Albany,"2,300","$2,150,000 "
2001,3,Columbia,600,"$520,000 "
2001,3,Greene,700,"$620,000 "
2001,3,Rensselaer,"1,900","$1,710,000 "
2001,3,Saratoga,"2,200","$1,970,000 "
2001,3,Schenectady,"1,400","$1,200,000 "
2001,3,Warren,"1,400","$1,020,000 "
2001,3,Washington,900,"$670,000 "
2001,3,Cayuga,"1,300","$1,080,000 "
2001,3,Cortland,900,"$810,000 "
2001,3,Madison,"1,200","$1,080,000 "
2001,3,Onondaga,"5,200","$4,350,000 "
2001,3,Oswego,"2,500","$2,100,000 "
2001,3,Genesee,"1,100","$870,000 "
2001,3,Livingston,"1,000","$840,000 "
2001,3,Monroe,"8,400","$7,150,000 "
2001,3,Ontario,"1,500","$1,300,000 "
2001,3,Orleans,800,"$610,000 "
2001,3,Seneca,500,"$450,000 "
2001,3,Wayne,"1,800","$1,520,000 "
2001,3,Wyoming,900,"$760,000 "
2001,3,Yates,300,"$270,000 "
2001,3,Dutchess,"2,200","$2,010,000 "
2001,3,Orange,"2,700","$2,450,000 "
2001,3,Putnam,700,"$760,000 "
2001,3,Rockland,"2,000","$1,790,000 "
2001,3,Sullivan,"1,100","$880,000 "
2001,3,Ulster,"1,900","$1,550,000 "
2001,3,Westchester,"8,000","$7,870,000 "
2001,3,Nassau,"10,700","$10,310,000 "
2001,3,Suffolk,"14,700","$14,140,000 "
2001,3,Fulton,"1,000","$760,000 "
2001,3,Herkimer,"1,200","$1,050,000 "
2001,3,Montgomery,"1,300","$1,040,000 "
2001,3,Oneida,"3,200","$2,650,000 "
2001,3,Otsego,"1,000","$850,000 "
2001,3,Schoharie,500,"$440,000 "
2001,3,Bronx,"13,200","$10,930,000 "
2001,3,Kings,"25,000","$21,290,000 "
2001,3,New York,"18,100","$18,170,000 "
2001,3,Queens,"20,100","$18,030,000 "
2001,3,Richmond,"3,500","$3,350,000 "
2001,3,Clinton,"1,200","$1,070,000 "
2001,3,Essex,800,"$640,000 "
2001,3,Franklin,"1,200","$1,000,000 "
2001,3,Hamilton,100,"$110,000 "
2001,3,Jefferson,"2,400","$1,920,000 "
2001,3,Lewis,900,"$890,000 "
2001,3,St. Lawrence,"2,500","$2,150,000 "
2001,3,Broome,"2,600","$2,040,000 "
2001,3,Chemung,"1,300","$890,000 "
2001,3,Chenango,900,"$790,000 "
2001,3,Delaware,600,"$570,000 "
2001,3,Schuyler,400,"$300,000 "
2001,3,Steuben,"1,600","$1,240,000 "
2001,3,Tioga,700,"$530,000 "
2001,3,Tompkins,800,"$530,000 "
2001,3,Allegany,800,"$700,000 "
2001,3,Cattaraugus,"1,800","$1,400,000 "
2001,3,Chautauqua,"2,900","$1,780,000 "
2001,3,Erie,"14,500","$12,410,000 "
2001,3,Niagara,"5,100","$4,330,000 "
2001,3,Out-of-State,"16,300","$18,200,000 "
2001,3,Unknown,"1,700","$1,640,000 "
2001,4,Albany,"2,300","$2,110,000 "
2001,4,Columbia,500,"$470,000 "
2001,4,Greene,700,"$590,000 "
2001,4,Rensselaer,"1,700","$1,550,000 "
2001,4,Saratoga,"2,100","$1,840,000 "
2001,4,Schenectady,"1,300","$1,150,000 "
2001,4,Warren,"1,300","$920,000 "
2001,4,Washington,900,"$630,000 "
2001,4,Cayuga,"1,300","$1,000,000 "
2001,4,Cortland,800,"$700,000 "
2001,4,Madison,"1,200","$1,000,000 "
2001,4,Onondaga,"5,000","$4,330,000 "
2001,4,Oswego,"2,400","$1,940,000 "
2001,4,Genesee,"1,000","$810,000 "
2001,4,Livingston,"1,000","$790,000 "
2001,4,Monroe,"8,200","$7,360,000 "
2001,4,Ontario,"1,400","$1,170,000 "
2001,4,Orleans,800,"$600,000 "
2001,4,Seneca,500,"$390,000 "
2001,4,Wayne,"1,600","$1,250,000 "
2001,4,Wyoming,900,"$630,000 "
2001,4,Yates,300,"$240,000 "
2001,4,Dutchess,"2,000","$1,850,000 "
2001,4,Orange,"2,700","$2,380,000 "
2001,4,Putnam,700,"$730,000 "
2001,4,Rockland,"2,000","$1,830,000 "
2001,4,Sullivan,"1,000","$810,000 "
2001,4,Ulster,"1,800","$1,450,000 "
2001,4,Westchester,"7,700","$7,390,000 "
2001,4,Nassau,"10,700","$9,810,000 "
2001,4,Suffolk,"14,100","$12,480,000 "
2001,4,Fulton,900,"$720,000 "
2001,4,Herkimer,"1,200","$990,000 "
2001,4,Montgomery,"1,200","$910,000 "
2001,4,Oneida,"3,400","$2,930,000 "
2001,4,Otsego,"1,000","$750,000 "
2001,4,Schoharie,400,"$360,000 "
2001,4,Bronx,"13,900","$11,680,000 "
2001,4,Kings,"27,500","$23,170,000 "
2001,4,New York,"19,200","$19,980,000 "
2001,4,Queens,"21,400","$19,300,000 "
2001,4,Richmond,"4,200","$3,850,000 "
2001,4,Clinton,"1,200","$1,060,000 "
